,Label,Accuracy,run_id,parent_run_id,experiment_run_id,experiment_id,corpus,start_time,strategy,type
0,O,0.8025701385405009,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,accuracy_per_label
1,con,0.4764440802949611,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,accuracy_per_label
2,pro,0.4570319719090741,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,accuracy_per_label
0,O,0.8816810095318952,772f2bcb9c104503aace93425adc180c,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:46:42.598000+00:00,round-robin-highest-confidence,accuracy_per_label
1,con,0.3525194592380172,772f2bcb9c104503aace93425adc180c,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:46:42.598000+00:00,round-robin-highest-confidence,accuracy_per_label
2,pro,0.4143411569026058,772f2bcb9c104503aace93425adc180c,498c554786c946efad160871fa3a209b,6e0b8576e3fd43458c75a97dbc8d223a,18,data/processed_data/aurc,2024-08-07 19:46:42.598000+00:00,round-robin-highest-confidence,accuracy_per_label
0,O,0.8767028132597537,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,accuracy_per_label
1,con,0.3291683736173699,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,accuracy_per_label
2,pro,0.4551838846793569,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,accuracy_per_label
0,O,0.877397445297727,92e81793ce3e4eb1b926c5a406a22487,4457fe1e6f2944d2b6f62b655a313f4c,1260196a66414df9b58f638a0171b43b,50,data/processed_data/aurc,2024-08-03 01:51:58.004000+00:00,diversity,accuracy_per_label
